PROCEDIMENTO,"RN
(alteração)",VIGÊNCIA,OD,AMB,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
RESSECÇÃO DE OSSO DO CARPO,,,,,HCO,HSO,REF,,,MEMBROS SUPERIORES,"SISTEMA MÚSCULO-ESQUELÉTICO E
ARTICULAÇÕES",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
RESSECÇÃO DO PROCESSO ESTILÓIDE DO RÁDIO,,,,,HCO,HSO,REF,,,MEMBROS SUPERIORES,"SISTEMA MÚSCULO-ESQUELÉTICO E
ARTICULAÇÕES",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
REVASCULARIZAÇÃO DE DEDOS,,,,,HCO,HSO,REF,,,MEMBROS SUPERIORES,"SISTEMA MÚSCULO-ESQUELÉTICO E
ARTICULAÇÕES",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
SEQUESTRECTOMIA,,,,,HCO,HSO,REF,,,MEMBROS SUPERIORES,"SISTEMA MÚSCULO-ESQUELÉTICO E
ARTICULAÇÕES",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
SINOVECTOMIA,,,,,HCO,HSO,REF,,,MEMBROS SUPERIORES,"SISTEMA MÚSCULO-ESQUELÉTICO E
ARTICULAÇÕES",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
SINOVECTOMIA DE PUNHO,,,,,HCO,HSO,REF,,,MEMBROS SUPERIORES,"SISTEMA MÚSCULO-ESQUELÉTICO E
ARTICULAÇÕES",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TRANSPOSIÇÃO DE DEDO,,,,,HCO,HSO,REF,,,MEMBROS SUPERIORES,"SISTEMA MÚSCULO-ESQUELÉTICO E
ARTICULAÇÕES",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TRANSPOSIÇÃO DO RÁDIO PARA ULNA,,,,,HCO,HSO,REF,,,MEMBROS SUPERIORES,"SISTEMA MÚSCULO-ESQUELÉTICO E
ARTICULAÇÕES",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TRATAMENTO CIRÚRGICO DA ARTRODIASTASE COM OU SEM FIXADOR EXTERNO,,,,,HCO,HSO,REF,,,MEMBROS SUPERIORES,"SISTEMA MÚSCULO-ESQUELÉTICO E
ARTICULAÇÕES",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TRATAMENTO CIRÚRGICO DA CONTRATURA ISQUÊMICA DE MÃO,,,,,HCO,HSO,REF,,,MEMBROS SUPERIORES,"SISTEMA MÚSCULO-ESQUELÉTICO E
ARTICULAÇÕES",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TRATAMENTO CIRÚRGICO DA CONTRATURA ISQUÊMICA DE VOLKMANN,,,,,HCO,HSO,REF,,,MEMBROS SUPERIORES,"SISTEMA MÚSCULO-ESQUELÉTICO E
ARTICULAÇÕES",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TRATAMENTO CIRÚRGICO DA DESARTICULAÇÃO DO PUNHO,,,,,HCO,HSO,REF,,,MEMBROS SUPERIORES,"SISTEMA MÚSCULO-ESQUELÉTICO E
ARTICULAÇÕES",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TRATAMENTO CIRÚRGICO DA OSTEOMIELITE,,,,,HCO,HSO,REF,,,MEMBROS SUPERIORES,"SISTEMA MÚSCULO-ESQUELÉTICO E
ARTICULAÇÕES",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
"TRATAMENTO CIRÚRGICO DA RETRAÇÃO CICATRICIAL DE DEDOS, COM OU SEM COMPROMETIMENTO
TENDINOSO",,,,,HCO,HSO,REF,,,MEMBROS SUPERIORES,"SISTEMA MÚSCULO-ESQUELÉTICO E
ARTICULAÇÕES",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TRATAMENTO CIRÚRGICO DA SINDACTILIA COM OU SEM EMPREGO DE EXPANSOR,,,,,HCO,HSO,REF,,,MEMBROS SUPERIORES,"SISTEMA MÚSCULO-ESQUELÉTICO E
ARTICULAÇÕES",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TRATAMENTO CIRÚRGICO DA SINDACTILIA MÚLTIPLA COM EMPREGO DE EXPANSOR,,,,,HCO,HSO,REF,,,MEMBROS SUPERIORES,"SISTEMA MÚSCULO-ESQUELÉTICO E
ARTICULAÇÕES",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TRATAMENTO CIRÚRGICO DA SINOSTOSE RÁDIO-ULNAR,,,,,HCO,HSO,REF,,,MEMBROS SUPERIORES,"SISTEMA MÚSCULO-ESQUELÉTICO E
ARTICULAÇÕES",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TRATAMENTO CIRÚRGICO DAS ROTURAS TENDINO-LIGAMENTARES DA MÃO,,,,,HCO,HSO,REF,,,MEMBROS SUPERIORES,"SISTEMA MÚSCULO-ESQUELÉTICO E
ARTICULAÇÕES",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
"TRATAMENTO CIRÚRGICO DE ABSCESSO DE MÃO E DEDOS, ESPAÇOS PALMARES, DORSAIS E COMISSURAIS
E TENOSSINOVITES",,,,Ambulatorial,HCO,HSO,REF,,,MEMBROS SUPERIORES,"SISTEMA MÚSCULO-ESQUELÉTICO E
ARTICULAÇÕES",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TRATAMENTO CIRÙRGICO DE ENCURTAMENTO SEGMENTAR DOS OSSOS COM OSTEOSSÍNTESE,,,,,HCO,HSO,REF,,,MEMBROS SUPERIORES,"SISTEMA MÚSCULO-ESQUELÉTICO E
ARTICULAÇÕES",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
"TRATAMENTO CIRÚRGICO DE POLIDACTILIA SIMPLES, COMPLEXA OU MÚLTIPLA",,,,,HCO,HSO,REF,,,MEMBROS SUPERIORES,"SISTEMA MÚSCULO-ESQUELÉTICO E
ARTICULAÇÕES",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
"TRATAMENTO CIRÚRGICO DE TENDINITES, SINOVITES E ARTRITES",,,,,HCO,HSO,REF,,,MEMBROS SUPERIORES,"SISTEMA MÚSCULO-ESQUELÉTICO E
ARTICULAÇÕES",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TRATAMENTO CIRÚRGICO DO GIGANTISMO EM MÃO,,,,,HCO,HSO,REF,,,MEMBROS SUPERIORES,"SISTEMA MÚSCULO-ESQUELÉTICO E
ARTICULAÇÕES",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TRATAMENTO CIRÚRGICO REPARADOR DA PERDA DE SUBSTÂNCIA DA MÃO,,,,,HCO,HSO,REF,,,MEMBROS SUPERIORES,"SISTEMA MÚSCULO-ESQUELÉTICO E
ARTICULAÇÕES",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TRATAMENTO DA DOENÇA DE KIENBOCK COM TRANSPLANTE VASCULARIZADO,,,,,HCO,HSO,REF,,,MEMBROS SUPERIORES,"SISTEMA MÚSCULO-ESQUELÉTICO E
ARTICULAÇÕES",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TRATAMENTO DA PSEUDARTROSE COM PERDA DE SUBSTÂNCIAS DE METACARPIANO E FALANGES,,,,,HCO,HSO,REF,,,MEMBROS SUPERIORES,"SISTEMA MÚSCULO-ESQUELÉTICO E
ARTICULAÇÕES",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
"TRATAMENTO DA PSEUDOARTROSE DO ESCAFÓIDE COM TRANSPLANTE ÓSSEO VASCULARIZADO COM OU
SEM FIXAÇÃO COM MICRO PARAFUSO",,,,,HCO,HSO,REF,,,MEMBROS SUPERIORES,"SISTEMA MÚSCULO-ESQUELÉTICO E
ARTICULAÇÕES",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ARTRODESE / FRATURA DE ACETÁBULO (LIGAMENTOTAXIA) COM OU SEM FIXADOR EXTERNO,,,,,HCO,HSO,REF,,,CINTURA PÉLVICA,"SISTEMA MÚSCULO-ESQUELÉTICO E
ARTICULAÇÕES",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ARTRODESE COXO-FEMORAL EM GERAL - TRATAMENTO CIRÚRGICO,,,,,HCO,HSO,REF,,,CINTURA PÉLVICA,"SISTEMA MÚSCULO-ESQUELÉTICO E
ARTICULAÇÕES",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ARTRODIASTASE DE QUADRIL,,,,,HCO,HSO,REF,,,CINTURA PÉLVICA,"SISTEMA MÚSCULO-ESQUELÉTICO E
ARTICULAÇÕES",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ARTROPLASTIA - TRATAMENTO CIRÚRGICO,,,,,HCO,HSO,REF,,,CINTURA PÉLVICA,"SISTEMA MÚSCULO-ESQUELÉTICO E
ARTICULAÇÕES",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ARTROPLASTIA DE QUADRIL INFECTADA (RETIRADA DOS COMPONENTES) - TRATAMENTO CIRÚRGICO,,,,,HCO,HSO,REF,,,CINTURA PÉLVICA,"SISTEMA MÚSCULO-ESQUELÉTICO E
ARTICULAÇÕES",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ARTROPLASTIA DE RESSECÇÃO DO QUADRIL (GIRDLESTONE),,,,,HCO,HSO,REF,,,CINTURA PÉLVICA,"SISTEMA MÚSCULO-ESQUELÉTICO E
ARTICULAÇÕES",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ARTROPLASTIA PARCIAL DO QUADRIL - TRATAMENTO CIRÚRGICO,,,,,HCO,HSO,REF,,,CINTURA PÉLVICA,"SISTEMA MÚSCULO-ESQUELÉTICO E
ARTICULAÇÕES",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
"ARTROPLASTIA TOTAL DE QUADRIL INFECTADA (INCISÃO E DRENAGEM ARTRITE SÉPTICA) - TRATAMENTO
CIRÚRGICO",,,,,HCO,HSO,REF,,,CINTURA PÉLVICA,"SISTEMA MÚSCULO-ESQUELÉTICO E
ARTICULAÇÕES",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ARTROTOMIA COXO-FEMORAL - TRATAMENTO CIRÚRGICO,,,,,HCO,HSO,REF,,,CINTURA PÉLVICA,"SISTEMA MÚSCULO-ESQUELÉTICO E
ARTICULAÇÕES",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
BIÓPSIA CIRÚRGICA COXO-FEMORAL,,,,,HCO,HSO,REF,,,CINTURA PÉLVICA,"SISTEMA MÚSCULO-ESQUELÉTICO E
ARTICULAÇÕES",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
BIÓPSIA CIRÚRGICA DA CINTURA PÉLVICA,,,,,HCO,HSO,REF,,,CINTURA PÉLVICA,"SISTEMA MÚSCULO-ESQUELÉTICO E
ARTICULAÇÕES",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
DESARTICULAÇÃO COXO-FEMORAL - TRATAMENTO CIRÚRGICO,,,,,HCO,HSO,REF,,,CINTURA PÉLVICA,"SISTEMA MÚSCULO-ESQUELÉTICO E
ARTICULAÇÕES",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
DESARTICULAÇÃO INTERÍLIO ABDOMINAL - TRATAMENTO CIRÚRGICO,,,,,HCO,HSO,REF,,,CINTURA PÉLVICA,"SISTEMA MÚSCULO-ESQUELÉTICO E
ARTICULAÇÕES",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
EPIFISIODESE C/ ABAIXAMENTO DO GRANDE TROCANTER,,,,,HCO,HSO,REF,,,CINTURA PÉLVICA,"SISTEMA MÚSCULO-ESQUELÉTICO E
ARTICULAÇÕES",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
"EPIFISIOLISTESE PROXIMAL DE FÊMUR (FIXAÇÃO ""IN SITU"")",,,,,HCO,HSO,REF,,,CINTURA PÉLVICA,"SISTEMA MÚSCULO-ESQUELÉTICO E
ARTICULAÇÕES",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
FRATURA DE ACETÁBULO - REDUÇÃO INCRUENTA,,,,Ambulatorial,HCO,HSO,REF,,,CINTURA PÉLVICA,"SISTEMA MÚSCULO-ESQUELÉTICO E
ARTICULAÇÕES",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
FRATURA DE ACETÁBULO (COM UMA OU MAIS ABORDAGENS) - TRATAMENTO CIRÚRGICO,,,,,HCO,HSO,REF,,,CINTURA PÉLVICA,"SISTEMA MÚSCULO-ESQUELÉTICO E
ARTICULAÇÕES",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
FRATURA E/OU LUXAÇÃO E/OU AVULSÃO COXO-FEMORAL - REDUÇÃO INCRUENTA,,,,,HCO,HSO,REF,,,CINTURA PÉLVICA,"SISTEMA MÚSCULO-ESQUELÉTICO E
ARTICULAÇÕES",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
FRATURA E/OU LUXAÇÃO E/OU AVULSÃO COXO-FEMORAL - TRATAMENTO CIRÚRGICO,,,,,HCO,HSO,REF,,,CINTURA PÉLVICA,"SISTEMA MÚSCULO-ESQUELÉTICO E
ARTICULAÇÕES",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
FRATURA/LUXAÇÃO COM FIXADOR EXTERNO - TRATAMENTO CIRÚRGICO,,,,,HCO,HSO,REF,,,CINTURA PÉLVICA,"SISTEMA MÚSCULO-ESQUELÉTICO E
ARTICULAÇÕES",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
FRATURAS E/OU LUXAÇÕES DO ANEL PÉLVICO - REDUÇÃO INCRUENTA,,,,Ambulatorial,HCO,HSO,REF,,,CINTURA PÉLVICA,"SISTEMA MÚSCULO-ESQUELÉTICO E
ARTICULAÇÕES",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
"FRATURAS E/OU LUXAÇÕES DO ANEL PÉLVICO (COM UMA OU MAIS ABORDAGENS) - TRATAMENTO
CIRÚRGICO",,,,,HCO,HSO,REF,,,CINTURA PÉLVICA,"SISTEMA MÚSCULO-ESQUELÉTICO E
ARTICULAÇÕES",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
OSTEOMIELITE AO NÍVEL DA PELVE - TRATAMENTO CIRÚRGICO,,,,,HCO,HSO,REF,,,CINTURA PÉLVICA,"SISTEMA MÚSCULO-ESQUELÉTICO E
ARTICULAÇÕES",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
"OSTEOTOMIAS AO NÍVEL DO COLO OU REGIÃO TROCANTERIANA (SUGIOKA, MARTIN, BOMBELLI ETC) -
TRATAMENTO CIRÚRGICO",,,,,HCO,HSO,REF,,,CINTURA PÉLVICA,"SISTEMA MÚSCULO-ESQUELÉTICO E
ARTICULAÇÕES",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
OSTEOTOMIAS / ARTRODESES - TRATAMENTO CIRÚRGICO,,,,,HCO,HSO,REF,,,CINTURA PÉLVICA,"SISTEMA MÚSCULO-ESQUELÉTICO E
ARTICULAÇÕES",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
"OSTEOTOMIAS SUPRA-ACETABULARES (CHIARI, PEMBERTON, ""DIAL"", ETC) - TRATAMENTO CIRÚRGICO",,,,,HCO,HSO,REF,,,CINTURA PÉLVICA,"SISTEMA MÚSCULO-ESQUELÉTICO E
ARTICULAÇÕES",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
PUNÇÃO-BIÓPSIA COXO-FEMORAL-ARTROCENTESE,,,,,HCO,HSO,REF,,,CINTURA PÉLVICA,"SISTEMA MÚSCULO-ESQUELÉTICO E
ARTICULAÇÕES",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
RECONSTRUÇÃO DE QUADRIL COM FIXADOR EXTERNO,,,,,HCO,HSO,REF,,,CINTURA PÉLVICA,"SISTEMA MÚSCULO-ESQUELÉTICO E
ARTICULAÇÕES",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
REVISÃO DE ARTROPLASTIAS DE QUADRIL COM RETIRADA DE COMPONENTES E IMPLANTE DE PRÓTESE,,,,,HCO,HSO,REF,,,CINTURA PÉLVICA,"SISTEMA MÚSCULO-ESQUELÉTICO E
ARTICULAÇÕES",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
"TRATAMENTO DE NECROSE AVASCULAR POR FORAGEM DE ESTAQUEAMENTO ASSOCIADA À NECROSE
MICROCIRÚRGICA DA CABEÇA FEMORAL",,,,,HCO,HSO,REF,,,CINTURA PÉLVICA,"SISTEMA MÚSCULO-ESQUELÉTICO E
ARTICULAÇÕES",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TRATAMENTO CIRÚRGICO DA ARTRITE SÉPTICA,,,,,HCO,HSO,REF,,,CINTURA PÉLVICA,"SISTEMA MÚSCULO-ESQUELÉTICO E
ARTICULAÇÕES",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
"TRATAMENTO CIRÚRGICO DA LUXAÇÃO CONGÊNITA DE QUADRIL - REDUÇÃO CIRÚRGICA COM OU SEM
OSTEOTOMIA / REDUÇÃO INCRUENTA COM OU SEM TENOTOMIA DE ADUTORES",,,,,HCO,HSO,REF,,,CINTURA PÉLVICA,"SISTEMA MÚSCULO-ESQUELÉTICO E
ARTICULAÇÕES",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
"ALONGAMENTO / TRANSPORTE ÓSSEO / PSEUDOARTROSE COM FIXADOR EXTERNO (DINÂMICO OU NÃO) -
QUALQUER LOCALIZAÇÃO",,,,,HCO,HSO,REF,,,MEMBROS INFERIORES,"SISTEMA MÚSCULO-ESQUELÉTICO E
ARTICULAÇÕES",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ALONGAMENTO COM FIXADOR DINÂMICO - TRATAMENTO CIRÚRGICO,,,,,HCO,HSO,REF,,,MEMBROS INFERIORES,"SISTEMA MÚSCULO-ESQUELÉTICO E
ARTICULAÇÕES",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ALONGAMENTO DE FÊMUR - TRATAMENTO CIRÚRGICO,,,,,HCO,HSO,REF,,,MEMBROS INFERIORES,"SISTEMA MÚSCULO-ESQUELÉTICO E
ARTICULAÇÕES",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ALONGAMENTO DOS OSSOS DA PERNA - TRATAMENTO CIRÚRGICO,,,,,HCO,HSO,REF,,,MEMBROS INFERIORES,"SISTEMA MÚSCULO-ESQUELÉTICO E
ARTICULAÇÕES",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
AMPUTAÇÃO AO NÍVEL DA COXA - TRATAMENTO CIRÚRGICO,,,,,HCO,HSO,REF,,,MEMBROS INFERIORES,"SISTEMA MÚSCULO-ESQUELÉTICO E
ARTICULAÇÕES",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
AMPUTAÇÃO AO NÍVEL DO PÉ - TRATAMENTO CIRÚRGICO,,,,,HCO,HSO,REF,,,MEMBROS INFERIORES,"SISTEMA MÚSCULO-ESQUELÉTICO E
ARTICULAÇÕES",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
AMPUTAÇÃO AO NÍVEL DO TORNOZELO - TRATAMENTO CIRÚRGICO,,,,,HCO,HSO,REF,,,MEMBROS INFERIORES,"SISTEMA MÚSCULO-ESQUELÉTICO E
ARTICULAÇÕES",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
AMPUTAÇÃO DE PERNA - TRATAMENTO CIRÚRGICO,,,,,HCO,HSO,REF,,,MEMBROS INFERIORES,"SISTEMA MÚSCULO-ESQUELÉTICO E
ARTICULAÇÕES",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
AMPUTAÇÃO/DESARTICULAÇÃO DE PODODÁCTILOS - TRATAMENTO CIRÚRGICO,,,,,HCO,HSO,REF,,,MEMBROS INFERIORES,"SISTEMA MÚSCULO-ESQUELÉTICO E
ARTICULAÇÕES",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ARTRITE OU OSTEOARTRITE DOS OSSOS DO PÉ (INCLUI OSTEOMIELITE) - TRATAMENTO CIRÚRGICO,,,,,HCO,HSO,REF,,,MEMBROS INFERIORES,"SISTEMA MÚSCULO-ESQUELÉTICO E
ARTICULAÇÕES",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ARTRODESE AO NÍVEL DO TORNOZELO - TRATAMENTO CIRÚRGICO,,,,,HCO,HSO,REF,,,MEMBROS INFERIORES,"SISTEMA MÚSCULO-ESQUELÉTICO E
ARTICULAÇÕES",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ARTRODESE DE JOELHO - TRATAMENTO CIRÚRGICO,,,,,HCO,HSO,REF,,,MEMBROS INFERIORES,"SISTEMA MÚSCULO-ESQUELÉTICO E
ARTICULAÇÕES",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ARTRODESE DE TARSO E/OU MÉDIO PÉ - TRATAMENTO CIRÚRGICO,,,,,HCO,HSO,REF,,,MEMBROS INFERIORES,"SISTEMA MÚSCULO-ESQUELÉTICO E
ARTICULAÇÕES",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ARTRODESE METATARSO - FALÂNGICA OU INTERFALÂNGICA - TRATAMENTO CIRÚRGICO,,,,,HCO,HSO,REF,,,MEMBROS INFERIORES,"SISTEMA MÚSCULO-ESQUELÉTICO E
ARTICULAÇÕES",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ARTROPLASTIA DE TORNOZELO (COM IMPLANTE) - TRATAMENTO CIRÚRGICO,,,,,HCO,HSO,REF,,,MEMBROS INFERIORES,"SISTEMA MÚSCULO-ESQUELÉTICO E
ARTICULAÇÕES",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ARTROPLASTIA TOTAL DE JOELHO COM IMPLANTES - TRATAMENTO CIRÚRGICO,,,,,HCO,HSO,REF,,,MEMBROS INFERIORES,"SISTEMA MÚSCULO-ESQUELÉTICO E
ARTICULAÇÕES",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ARTRORRISE DO TORNOZELO - TRATAMENTO CIRÚRGICO,,,,,HCO,HSO,REF,,,MEMBROS INFERIORES,"SISTEMA MÚSCULO-ESQUELÉTICO E
ARTICULAÇÕES",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ARTROTOMIA - TRATAMENTO CIRÚRGICO,,,,,HCO,HSO,REF,,,MEMBROS INFERIORES,"SISTEMA MÚSCULO-ESQUELÉTICO E
ARTICULAÇÕES",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
BIÓPSIA CIRÚRGICA DE FÊMUR,,,,,HCO,HSO,REF,,,MEMBROS INFERIORES,"SISTEMA MÚSCULO-ESQUELÉTICO E
ARTICULAÇÕES",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
BIÓPSIA CIRÚRGICA DE JOELHO,,,,Ambulatorial,HCO,HSO,REF,,,MEMBROS INFERIORES,"SISTEMA MÚSCULO-ESQUELÉTICO E
ARTICULAÇÕES",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
BIÓPSIA CIRÚRGICA DE TÍBIA OU FÍBULA,,,,Ambulatorial,HCO,HSO,REF,,,MEMBROS INFERIORES,"SISTEMA MÚSCULO-ESQUELÉTICO E
ARTICULAÇÕES",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
BIÓPSIA CIRÚRGICA DO TORNOZELO,,,,Ambulatorial,HCO,HSO,REF,,,MEMBROS INFERIORES,"SISTEMA MÚSCULO-ESQUELÉTICO E
ARTICULAÇÕES",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
BIÓPSIA CIRÚRGICA DOS OSSOS DO PÉ,,,,Ambulatorial,HCO,HSO,REF,,,MEMBROS INFERIORES,"SISTEMA MÚSCULO-ESQUELÉTICO E
ARTICULAÇÕES",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
CORREÇÃO DE DEFORMIDADE ÓSSEA CONGÊNITA OU ADQUIRIDA COM FIXADOR EXTERNO,,,,,HCO,HSO,REF,,,MEMBROS INFERIORES,"SISTEMA MÚSCULO-ESQUELÉTICO E
ARTICULAÇÕES",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
CORREÇÃO DE DEFORMIDADES DO PÉ COM FIXADOR EXTERNO DINÂMICO - TRATAMENTO CIRÚRGICO,,,,,HCO,HSO,REF,,,MEMBROS INFERIORES,"SISTEMA MÚSCULO-ESQUELÉTICO E
ARTICULAÇÕES",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
DESARTICULAÇÃO DE JOELHO - TRATAMENTO CIRÚRGICO,,,,,HCO,HSO,REF,,,MEMBROS INFERIORES,"SISTEMA MÚSCULO-ESQUELÉTICO E
ARTICULAÇÕES",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
DESCOLAMENTO EPIFISÁRIO (TRAUMÁTICO OU NÃO) - REDUÇÃO INCRUENTA,,,,Ambulatorial,HCO,HSO,REF,,,MEMBROS INFERIORES,"SISTEMA MÚSCULO-ESQUELÉTICO E
ARTICULAÇÕES",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
DESCOLAMENTO EPIFISÁRIO (TRAUMÁTICO OU NÃO) - TRATAMENTO CIRÚRGICO,,,,,HCO,HSO,REF,,,MEMBROS INFERIORES,"SISTEMA MÚSCULO-ESQUELÉTICO E
ARTICULAÇÕES",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ENCURTAMENTO DE FÊMUR - TRATAMENTO CIRÚRGICO,,,,,HCO,HSO,REF,,,MEMBROS INFERIORES,"SISTEMA MÚSCULO-ESQUELÉTICO E
ARTICULAÇÕES",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ENCURTAMENTO DOS OSSOS DA PERNA - TRATAMENTO CIRÚRGICO,,,,,HCO,HSO,REF,,,MEMBROS INFERIORES,"SISTEMA MÚSCULO-ESQUELÉTICO E
ARTICULAÇÕES",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
EPIFISIODESE - TRATAMENTO CIRÚRGICO,,,,,HCO,HSO,REF,,,MEMBROS INFERIORES,"SISTEMA MÚSCULO-ESQUELÉTICO E
ARTICULAÇÕES",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
EPIFISIODESE DE TÍBIA / FÍBULA - TRATAMENTO CIRÚRGICO,,,,,HCO,HSO,REF,,,MEMBROS INFERIORES,"SISTEMA MÚSCULO-ESQUELÉTICO E
ARTICULAÇÕES",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
FASCIOTOMIA OU RESSECÇÃO DE FASCIA PLANTAR,,,,,HCO,HSO,REF,,,MEMBROS INFERIORES,"SISTEMA MÚSCULO-ESQUELÉTICO E
ARTICULAÇÕES",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
FRATURA E/OU LUXAÇÃO DE PATELA - TRATAMENTO CIRÚRGICO,,,,,HCO,HSO,REF,,,MEMBROS INFERIORES,"SISTEMA MÚSCULO-ESQUELÉTICO E
ARTICULAÇÕES",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
FRATURA E/OU LUXAÇÃO DE PATELA (INCLUSIVE OSTEOCONDRAL) - REDUÇÃO INCRUENTA,,,,,HCO,HSO,REF,,,MEMBROS INFERIORES,"SISTEMA MÚSCULO-ESQUELÉTICO E
ARTICULAÇÕES",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
FRATURA E/OU LUXAÇÕES DO PÉ (EXCETO ANTEPÉ) - REDUÇÃO INCRUENTA,,,,Ambulatorial,HCO,HSO,REF,,,MEMBROS INFERIORES,"SISTEMA MÚSCULO-ESQUELÉTICO E
ARTICULAÇÕES",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
